file,line,api,classification,has_full_consumption_check,reason,evidence_snippet
/home/wen/work/clean_sources/openssl-3.5.5/test/evp_extra_test.c,2325,d2i_PKCS8_PRIV_KEY_INFO,checks_full_consumption,true,nearby code appears to compare or compute consumed input,"2317:     const unsigned char *p;
2318:     const APK_DATA *ak = &keydata_v2[i];
2319:     const unsigned char *input = ak->kder;
2320:     size_t input_len = ak->size;
2321:     PKCS8_PRIV_KEY_INFO *p8inf = NULL;
2322: 
2323:     /* Can we parse PKCS#8 v2, ignoring the public key for now? */
2324:     p = input;
2325:     p8inf = d2i_PKCS8_PRIV_KEY_INFO(NULL, &p, input_len);
2326:     if (!TEST_ptr(p8inf)
2327:         || !TEST_true(p == input + input_len))
2328:         goto done;
2329: 
2330:     ret = 1;
2331: done:
2332:     PKCS8_PRIV_KEY_INFO_free(p8inf);
2333:     return ret;"
/home/wen/work/clean_sources/openssl-3.5.5/ssl/ssl_lib.c,384,d2i_PUBKEY,checks_full_consumption,true,nearby code appears to compare or compute consumed input,"376:                 ERR_raise(ERR_LIB_SSL, ERR_R_CRYPTO_LIB);
377:                 X509_free(cert);
378:                 tlsa_free(t);
379:                 return -1;
380:             }
381:             break;
382: 
383:         case DANETLS_SELECTOR_SPKI:
384:             if (!d2i_PUBKEY(&pkey, &p, ilen) || p < data || dlen != (size_t)(p - data)) {
385:                 EVP_PKEY_free(pkey);
386:                 tlsa_free(t);
387:                 ERR_raise(ERR_LIB_SSL, SSL_R_DANE_TLSA_BAD_PUBLIC_KEY);
388:                 return 0;
389:             }
390: 
391:             /*
392:              * For usage DANE-TA(2), we support authentication via ""2 1 0"" TLSA"
/home/wen/work/clean_sources/openssl-3.5.5/fuzz/x509.c,69,d2i_X509,checks_full_consumption,true,nearby code appears to compare or compute consumed input,"61:     BIO_free(bio);
62: 
63:     X509_issuer_and_serial_hash(x509_1);
64: 
65:     i2d_X509(x509_1, &der);
66:     OPENSSL_free(der);
67: 
68:     len = orig_len - (p - buf);
69:     x509_2 = d2i_X509(NULL, &p, len);
70:     if (x509_2 == NULL)
71:         goto err;
72: 
73:     len = orig_len - (p - buf);
74:     crl = d2i_X509_CRL(NULL, &p, len);
75:     if (crl == NULL)
76:         goto err;
77: "
/home/wen/work/clean_sources/openssl-3.5.5/ssl/ssl_lib.c,338,d2i_X509,checks_full_consumption,true,nearby code appears to compare or compute consumed input,"330:     /* Validate and cache full certificate or public key */
331:     if (mtype == DANETLS_MATCHING_FULL) {
332:         const unsigned char *p = data;
333:         X509 *cert = NULL;
334:         EVP_PKEY *pkey = NULL;
335: 
336:         switch (selector) {
337:         case DANETLS_SELECTOR_CERT:
338:             if (!d2i_X509(&cert, &p, ilen) || p < data || dlen != (size_t)(p - data)) {
339:                 X509_free(cert);
340:                 tlsa_free(t);
341:                 ERR_raise(ERR_LIB_SSL, SSL_R_DANE_TLSA_BAD_CERTIFICATE);
342:                 return 0;
343:             }
344:             if (X509_get0_pubkey(cert) == NULL) {
345:                 X509_free(cert);
346:                 tlsa_free(t);"
/home/wen/work/clean_sources/openssl-3.5.5/test/danetest.c,113,d2i_X509,checks_full_consumption,true,nearby code appears to compare or compute consumed input,"105:         count < nelem && errtype == 0
106:         && PEM_read_bio(fp, &name, &header, &data, &len) == 1;
107:         ++count) {
108:         if (strcmp(name, PEM_STRING_X509) == 0
109:             || strcmp(name, PEM_STRING_X509_TRUSTED) == 0
110:             || strcmp(name, PEM_STRING_X509_OLD) == 0) {
111:             d2i_X509_t d = strcmp(name, PEM_STRING_X509_TRUSTED) != 0
112:                 ? d2i_X509_AUX
113:                 : d2i_X509;
114:             X509 *cert;
115:             const unsigned char *p = data;
116: 
117:             if (!TEST_ptr(cert = d(0, &p, len))
118:                 || !TEST_long_eq(p - data, len)) {
119:                 TEST_info(""Certificate parsing error"");
120:                 goto err;
121:             }"
/home/wen/work/clean_sources/openssl-3.5.5/fuzz/x509.c,74,d2i_X509_CRL,checks_full_consumption,true,nearby code appears to compare or compute consumed input,"66:     OPENSSL_free(der);
67: 
68:     len = orig_len - (p - buf);
69:     x509_2 = d2i_X509(NULL, &p, len);
70:     if (x509_2 == NULL)
71:         goto err;
72: 
73:     len = orig_len - (p - buf);
74:     crl = d2i_X509_CRL(NULL, &p, len);
75:     if (crl == NULL)
76:         goto err;
77: 
78:     len = orig_len - (p - buf);
79:     resp = d2i_OCSP_RESPONSE(NULL, &p, len);
80: 
81:     store = X509_STORE_new();
82:     if (store == NULL)"
/home/wen/work/clean_sources/openssl-3.5.5/crypto/store/store_result.c,559,d2i_PKCS12,potential_misuse,false,nearby code appears to check parse success without full-consumption check,"551: {
552:     int ok = 1;
553: 
554:     /* There is no specific object type for PKCS12 */
555:     if (data->object_type == OSSL_OBJECT_UNKNOWN) {
556:         /* Initial parsing */
557:         PKCS12 *p12;
558: 
559:         p12 = d2i_PKCS12(NULL, (const unsigned char **)&data->octet_data,
560:             data->octet_data_size);
561: 
562:         if (p12 != NULL) {
563:             char *pass = NULL;
564:             char tpass[PEM_BUFSIZE + 1];
565:             size_t tpass_len;
566:             EVP_PKEY *pkey = NULL;
567:             X509 *cert = NULL;"
/home/wen/work/clean_sources/openssl-3.5.5/engines/e_loader_attic.c,316,d2i_PKCS12,potential_misuse,false,nearby code appears to check parse success without full-consumption check,"308:     if (ctx == NULL) {
309:         /* Initial parsing */
310:         PKCS12 *p12;
311: 
312:         if (pem_name != NULL)
313:             /* No match, there is no PEM PKCS12 tag */
314:             return NULL;
315: 
316:         if ((p12 = d2i_PKCS12(NULL, &blob, len)) != NULL) {
317:             char *pass = NULL;
318:             char tpass[PEM_BUFSIZE];
319:             EVP_PKEY *pkey = NULL;
320:             X509 *cert = NULL;
321:             STACK_OF(X509) *chain = NULL;
322: 
323:             *matchcount = 1;
324: "
/home/wen/work/clean_sources/openssl-3.5.5/crypto/asn1/d2i_pr.c,52,d2i_PKCS8_PRIV_KEY_INFO,potential_misuse,false,nearby code appears to check parse success without full-consumption check,"44:     if (keytype != EVP_PKEY_NONE) {
45:         key_name = evp_pkey_type2name(keytype);
46:         if (key_name == NULL)
47:             return NULL;
48:     }
49: 
50:     /* This is just a probe. It might fail, so we ignore errors */
51:     ERR_set_mark();
52:     p8info = d2i_PKCS8_PRIV_KEY_INFO(NULL, pp, len);
53:     ERR_pop_to_mark();
54:     if (p8info != NULL) {
55:         int64_t v;
56: 
57:         /* ascertain version is 0 or 1 as per RFC5958 */
58:         if (!ASN1_INTEGER_get_int64(&v, p8info->version)
59:             || (v != 0 && v != 1)) {
60:             *pp = p;"
/home/wen/work/clean_sources/openssl-3.5.5/crypto/asn1/d2i_pr.c,132,d2i_PKCS8_PRIV_KEY_INFO,potential_misuse,false,nearby code appears to check parse success without full-consumption check,"124:     }
125: 
126:     ERR_set_mark();
127:     if (!ret->ameth->old_priv_decode || !ret->ameth->old_priv_decode(ret, &p, length)) {
128:         if (ret->ameth->priv_decode != NULL
129:             || ret->ameth->priv_decode_ex != NULL) {
130:             EVP_PKEY *tmp;
131:             PKCS8_PRIV_KEY_INFO *p8 = NULL;
132:             p8 = d2i_PKCS8_PRIV_KEY_INFO(NULL, &p, length);
133:             if (p8 == NULL) {
134:                 ERR_clear_last_mark();
135:                 goto err;
136:             }
137:             tmp = evp_pkcs82pkey_legacy(p8, libctx, propq);
138:             PKCS8_PRIV_KEY_INFO_free(p8);
139:             if (tmp == NULL) {
140:                 ERR_clear_last_mark();"
