poc_id,issue_or_cve,title,source_library,bug_class,harness_family,oracle_type,input_provenance,quality_level,vulnerable_version_verified,fixed_version_verified,current_version_verified,fixed_version,strict_reproduction,crash_signal
WOLFSSL-POC-0001,GitHub issue #2555,Heap based buffer overflow while parsing crafted X.509 certificates,wolfSSL,X.509 certificate parsing heap-buffer-overflow,x509_asn1_parser_memory_safety,crash_sanitizer_oracle,original_issue_attachment,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v4.3.0-stable,True,UBSan: index 19 out of bounds for int[19] at wolfcrypt/src/asn.c:5121; ASan: SEGV during FreeDecodedCert at wolfcrypt/src/asn.c:4532; exit code 134.
WOLFSSL-POC-0002,CVE-2017-2800 / TALOS-2017-0293 / EDB-41984,wolfSSL 3.10.2 X.509 certificate text parsing off-by-one,wolfSSL,X.509 certificate text parsing off-by-one out-of-bounds byte overwrite,x509_text_field_parser_memory_safety,crash_sanitizer_oracle,reconstructed_from_exploitdb_talos_poc_command,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v3.11.0-stable,True,ASan stack-buffer-overflow; WRITE of size 1; wolfSSL_X509_NAME_get_text_by_NID src/ssl.c:12471; localityName stack buffer overflow; exit code 134.
WOLFSSL-POC-0003,CVE-2026-5448,wolfSSL X.509 date buffer overflow in wolfSSL_X509_notAfter / wolfSSL_X509_notBefore,wolfSSL,X.509 date parsing buffer overflow,x509_date_parser_memory_safety,crash_sanitizer_oracle,reconstructed_from_pr_10071_official_test_pattern,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v5.9.1-stable,True,ASan heap-buffer-overflow; WRITE of size 255; memcpy; notAfter exit code 134; notBefore exit code 134.
WOLFSSL-POC-0004,CVE-2026-5447,wolfSSL CertFromX509 AuthorityKeyIdentifier size confusion heap-buffer-overflow,wolfSSL,X.509 AuthorityKeyIdentifier heap buffer overflow,x509_authority_key_identifier_memory_safety,crash_sanitizer_oracle,reconstructed_from_pr_10112_official_test_pattern,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v5.9.1-stable,True,ASan heap-buffer-overflow; WRITE of size 20046; memcpy; CertFromX509 src/x509.c:11863; wolfSSL_i2d_X509_bio trigger path; exit code 134.
WOLFSSL-POC-0005,CVE-2026-5264,wolfSSL DTLS 1.3 ACK message processing heap-buffer-overflow,wolfSSL,DTLS 1.3 ACK record processing heap buffer overflow,dtls13_ack_record_parser_memory_safety,crash_sanitizer_oracle,reconstructed_from_official_pr_10076_test_pattern,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v5.9.1-stable,True,
WOLFSSL-POC-0006,CVE-2026-0819,wolfSSL PKCS7 SignedData signed attributes out-of-bounds write,,PKCS7 SignedData encoding out-of-bounds write,pkcs7_signeddata_encoding_memory_safety,crash_sanitizer_oracle,reconstructed_from_official_security_advisory_and_source_patch,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v5.9.0-stable,True,AddressSanitizer stack-buffer-overflow; WRITE of size 8; EncodeAttributes -> wc_PKCS7_BuildSignedAttributes -> wc_PKCS7_EncodeSignedData
WOLFSSL-POC-0007,CVE-2026-5295,wolfSSL PKCS7 ORI OID processing stack buffer overflow,,PKCS7 ORI OID processing stack buffer overflow,pkcs7_ori_oid_parsing_memory_safety,crash_sanitizer_oracle,reconstructed_from_official_pr_10116_test_pattern,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v5.9.1-stable,True,AddressSanitizer stack-buffer-overflow; WRITE of size 80; wc_PKCS7_DecryptOri -> wc_PKCS7_DecodeEnvelopedData; oriOID[MAX_OID_SZ] overflow
WOLFSSL-POC-0008,CVE-2026-5460,wolfSSL TLS 1.3 PQC hybrid KeyShare KyberKey error cleanup double-free,,TLS 1.3 PQC hybrid KeyShare error cleanup double-free,tls13_pqc_hybrid_keyshare_cleanup_memory_safety,crash_sanitizer_oracle,reconstructed_from_official_46f632038_test_pattern,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v5.9.1-stable,True,AddressSanitizer heap-use-after-free; WRITE of size 8; ForceZero -> TLSX_KeyShare_FreeAll -> TLSX_FreeAll -> wolfSSL_free; earlier free path includes TLSX_KeyShare_ProcessPqcHybridClient
WOLFSSL-POC-0009,CVE-2026-2646,wolfSSL wolfSSL_d2i_SSL_SESSION SESSION_CERTS heap-buffer-overflow,,SSL_SESSION deserialization heap-buffer-overflow,ssl_session_deserialization_memory_safety,crash_sanitizer_oracle,reconstructed_from_official_session_deserialization_test_pattern,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v5.9.0-stable,True,AddressSanitizer heap-buffer-overflow; WRITE of size 4; wolfSSL_d2i_SSL_SESSION src/ssl_sess.c:2831; UBSan index 9 out of bounds for x509_buffer[9]
WOLFSSL-POC-0010,CVE-2026-3547,wolfSSL ALPN parsing out-of-bounds read,,TLS ALPN extension parsing out-of-bounds read,tls_alpn_extension_parser_memory_safety,crash_sanitizer_oracle,reconstructed_from_official_select_next_proto_fix_pattern,Q1_strict_reproduction_candidate,True,True,True,wolfSSL v5.9.0-stable,True,AddressSanitizer heap-buffer-overflow; READ of size 200; memcmp -> wolfSSL_select_next_proto src/ssl.c:22298
