issue_number,artifact_class,source_artifact_class,poc_origin,poc_type,quality,component,trigger_behavior,affected_version,local_compile,local_run,strict_reproduction,input_status,missing_original_input,local_test_result,tested_library,title,source_url,translated_from_cli,generated_c_api_path,expected_input_file,artifact_dir,has_poc_c,has_run_sh,has_run_log,has_valgrind_log,validation_notes
11567,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,X509/ASN1,WRONG_RESULT,"Libressl (3.1.0), openssl (commit 031c9bd3f3e9a02fa126c7dbc47f3d934678a195), openssl-1.0.2t",True,True,False,placeholder_input_used,True,compiled_and_executed_with_non_buggy_sample_input,OpenSSL 3.0.13 / libcrypto.so.3,semantic bug when verifying certificate file,https://github.com/openssl/openssl/issues/11567,openssl x509 -in $PoC -text -noout,BIO_new_file;PEM_read_bio_X509;X509_print_fp,,data/openssl/poc_artifacts/issue_11567,True,True,True,True,"Translated from CLI command `openssl x509 -in $PoC -text -noout`. The generated C harness compiled and executed successfully using a system certificate copied to inputs/poc.pem. Valgrind reported 0 errors. This validates the harness structure, but does not strictly reproduce the original issue because the original PoC certificate has not been recovered."
11772,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,X509/X509V3/ASN1,WRONG_RESULT,openssl-1.0.2u,True,True,False,placeholder_input_used,True,compiled_and_executed_with_non_buggy_sample_input,OpenSSL 3.0.13 / system libssl-libcrypto,openssl x509 returns 0 even though the date of certificate is invalid,https://github.com/openssl/openssl/issues/11772,openssl x509 -in $PoC -checkend 0 -noout,BIO_new_file;PEM_read_bio_X509;X509_get0_notAfter;X509_cmp_time,inputs/poc.pem,data/openssl/poc_artifacts/issue_11772,True,True,True,True,The generated C harness was translated from the original CLI command and compiled/executed using a placeholder local input. This validates the harness structure but does not strictly reproduce the original issue because the original PoC input artifact has not been recovered.
13860,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,X509/X509V3/ASN1,UNKNOWN,"1.0.2, 1.1.1",True,True,False,placeholder_input_used,True,compiled_and_executed_with_non_buggy_sample_input,OpenSSL 3.0.13 / system libssl-libcrypto,openssl-x509: change of behaviour for public key output between versions 1.0.2 and 1.1.1,https://github.com/openssl/openssl/issues/13860,openssl x509 -in cert.crt -inform der -out cert.pem -pubkey,BIO_new_file;d2i_X509_bio;X509_get_pubkey;PEM_write_PUBKEY,inputs/cert.crt,data/openssl/poc_artifacts/issue_13860,True,True,True,True,The generated C harness was translated from the original CLI command and compiled/executed using a placeholder local input. This validates the harness structure but does not strictly reproduce the original issue because the original PoC input artifact has not been recovered.
14457,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HQ,X509/X509V3/ASN1,WRONG_OUTPUT,"1.1.1, 1.1.1f",True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,Self-signed certificates generated with a single `openssl req` command fail to verify (error 20 at 0 depth lookup: unable to get local issuer certificate),https://github.com/openssl/openssl/issues/14457,openssl verify -CAfile root.cer root.cer,PEM_read_bio_X509;X509_STORE_new;X509_STORE_add_cert;X509_STORE_CTX_new;X509_STORE_CTX_init;X509_verify_cert,inputs/root.cer,data/openssl/poc_artifacts/issue_14457,True,True,True,True,"X509 self-verification harness compiled and executed with generated self-signed certificate placeholder input. Valgrind reported 0 errors. This validates the generated C harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts have not been recovered."
14675,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,X509/VERIFY,WRONG_ALERT_OR_PROTOCOL_BEHAVIOR,1.1.1f,True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_cert_bundle,OpenSSL 3.0.13 / system libssl-libcrypto,openssl verify silently ignores any but the first certificate in the certificates argument,https://github.com/openssl/openssl/issues/14675,openssl verify /tmp/poc.pem,PEM_read_bio_X509;X509_STORE_new;X509_STORE_add_cert;X509_STORE_CTX_new;X509_STORE_CTX_init;X509_verify_cert,inputs/poc.pem,data/openssl/poc_artifacts/issue_14675,True,True,True,True,"The generated C harness was translated from the CLI command `openssl verify /tmp/poc.pem`. It compiled and executed using a placeholder certificate bundle with appended garbage. This validates the X509 verification API path, but does not strictly reproduce the original issue semantics."
15899,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+SANITIZER_LOG,HQ,BN/ASN1,NULL_DEREFERENCE_CRASH,3.0.0-beta2-dev,True,True,False,placeholder_input_used,True,compiled_and_executed_with_non_buggy_sample_input,OpenSSL 3.0.13 / system libssl-libcrypto,openssl rsa -modulus segfaults: bn_expand_internal: Assertion `b->top <= words' failed,https://github.com/openssl/openssl/issues/15899,openssl x509 -noout -modulus -in /tmp/httpd.crt,BIO_new_file;PEM_read_bio_X509;X509_get_pubkey;EVP_PKEY_get1_RSA;RSA_get0_key;BN_print_fp,inputs/httpd.crt,data/openssl/poc_artifacts/issue_15899,True,True,True,True,"The generated C harness was translated from the original CLI command `openssl x509 -noout -modulus -in /tmp/httpd.crt`. It compiled and executed successfully using a placeholder local certificate copied from the system CA bundle. The harness extracted and printed the RSA modulus through X509_get_pubkey, EVP_PKEY_get1_RSA, RSA_get0_key and BN_print_fp. Valgrind reported 0 errors. This validates the harness structure and API path, but does not strictly reproduce the original issue because the original /tmp/httpd.crt input has not been recovered."
16196,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,REQ/ASN1,NULL_DEREFERENCE_CRASH,,True,True,False,placeholder_input_used,True,compiled_and_executed_with_generated_csr,OpenSSL 3.0.13 / system libssl-libcrypto,openssl req segfault,https://github.com/openssl/openssl/issues/16196,openssl req -modulus -in test.csr -noout,BIO_new_file;PEM_read_bio_X509_REQ;X509_REQ_get_pubkey;EVP_PKEY_get1_RSA;RSA_get0_key;BN_print_fp,inputs/test.csr,data/openssl/poc_artifacts/issue_16196,True,True,True,True,"The generated C harness was translated from the CLI command `openssl req -modulus -in test.csr -noout`. It compiled and executed with a generated RSA CSR as placeholder input. This validates the CSR parsing and RSA modulus extraction path, but does not strictly reproduce the original issue."
17715,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+SANITIZER_LOG,HIGH_CANDIDATE,RAND_DRBG/EVP_CIPHER_CTX,NULL_DEREFERENCE_CRASH,1.1.1a,True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,DRBG fails to initialize cipher_data prior to EVP_EncryptUpdate leading to segfault,https://github.com/openssl/openssl/issues/17715,openssl x509 -in input.pem -out output.pem; openssl req -new -key key.pem -out req.pem; openssl pkcs12 -export -in cert.pem -out pkcs12.pem -name user; openssl pkey -in pkey.pem -out pkey_out.pem; openssl rsa -in rsa.pem -out rsa_out.pem,PEM_read_bio_X509;PEM_read_bio_X509_REQ;d2i_PKCS12_fp;PKCS12_parse;PEM_read_bio_PrivateKey;PEM_write_bio_PrivateKey,inputs/input.pem;inputs/req.pem;inputs/pkcs12.pem;inputs/pkey.pem;inputs/rsa.pem,data/openssl/poc_artifacts/issue_17715,True,True,True,True,"The generated C harness was translated from a CLI PoC candidate and compiled/executed using placeholder local inputs. This validates the harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts or environment have not been recovered."
18168,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED+SANITIZER_LOG,HQ,WPACKET/DER_WRITER/RSA,ASSERTION_FAILURE,3.1.0-dev,True,True,False,placeholder_input_used,True,compiled_and_executed_with_generated_rsa_key,OpenSSL 3.0.13 / system libssl-libcrypto,"Assertion failure in WPACKET_put_bytes__, packet.c:387, openssl-rsa",https://github.com/openssl/openssl/issues/18168,openssl rsa -in poc -out /tmp/foo,BIO_new_file;PEM_read_bio_RSAPrivateKey;PEM_write_bio_RSAPrivateKey;RSA_free,inputs/poc,data/openssl/poc_artifacts/issue_18168,True,True,True,True,"The generated C harness was translated from the original CLI command `openssl rsa -in poc -out /tmp/foo`. It compiled and executed successfully using a generated RSA private key as placeholder input. This validates the RSA key read/write API path, but does not strictly reproduce the original issue because the original `poc` key file has not been recovered."
18659,A_ast_ready,,,C_API+STACKTRACE,HQ,CONF/OPENSSL,SEGV,,True,True,False,no_external_input_required_or_embedded,,compiled_and_executed_no_valgrind_error,OpenSSL 3.0.13 / system libssl-libcrypto,CONF_modules_unload after OPENSSL_cleanup causes segfault,https://github.com/openssl/openssl/issues/18659,,,,data/openssl/poc_artifacts/issue_18659,True,True,True,True,"The extracted C PoC compiled and executed successfully against system OpenSSL 3.0.13. Valgrind reported 0 errors. This validates local harness execution, but strict reproduction requires the original affected version."
