repo,file,uses_lua_openssl_mac_ctx,uses_update_final,post_final_pattern_found,security_context,attacker_controlled_input_evidence,rating,notes
Kong/lua-resty-aws,src/resty/aws/request/signatures/utils.lua,false,false,false,"sign,signature,request,hmac","query,request,uri,args",low,"uses lua-resty-openssl hmac one-shot; uses lua-openssl hmac, not openssl.mac.ctx; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
haproxytech/haproxy-lua-oauth,lib/jwtverify.lua,false,false,false,"auth,token,verify,sign,signature,request,jwt,permission,hmac","header,request,token,jwt,authorization",low,"uses lua-openssl hmac, not openssl.mac.ctx; uses digest, not MAC ctx; JWT/security context; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
apache/apisix,apisix/plugins/jwt-auth/parser.lua,false,false,false,"auth,token,verify,sign,signature,jwt,permission,hmac","header,token,jwt",low,"uses lua-resty-openssl mac, not zhaozg lua-openssl mac.ctx; uses digest, not MAC ctx; JWT/security context; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
SGU-K22C4/CNLTHD26K1_Nhom9,docker/kong/plugins/jwt-auth/handler.lua,false,false,false,"auth,token,verify,sign,signature,request,server,jwt,role,hmac","header,request,server,token,jwt,authorization",low,"uses lua-resty-openssl hmac one-shot; uses lua-openssl hmac, not openssl.mac.ctx; JWT/security context; doc/test/example path; no direct target openssl.mac.ctx/mac.ctx evidence"
Kong/kong,kong/plugins/hmac-auth/access.lua,false,false,false,"auth,verify,sign,signature,request,client,hmac","header,query,request,body,client,authorization,uri,params",low,"uses lua-resty-openssl mac, not zhaozg lua-openssl mac.ctx; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
Mohammed-Kamel-Frost-32/https-github.com-Kong-kong.,kong/plugins/hmac-auth/access.lua,false,false,false,"auth,verify,sign,signature,request,client,hmac","header,query,request,body,client,authorization,uri,params",low,"uses lua-resty-openssl mac, not zhaozg lua-openssl mac.ctx; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
epam/edp-ddm-kong,kong/kong/plugins/hmac-auth/access.lua,false,false,false,"auth,verify,sign,signature,request,client,hmac","header,query,request,body,client,authorization,uri,params",low,"uses lua-resty-openssl hmac one-shot; uses lua-openssl hmac, not openssl.mac.ctx; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
gridgentoo/kong,kong/plugins/hmac-auth/access.lua,false,false,false,"auth,verify,sign,signature,request,client,hmac","ngx.var,header,query,request,body,client,authorization,uri,params",low,"uses lua-resty-openssl hmac one-shot; uses lua-openssl hmac, not openssl.mac.ctx; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
inclavare-containers/kong_coco,kong/plugins/hmac-auth/access.lua,false,false,false,"auth,verify,sign,signature,request,client,hmac","header,query,request,body,client,authorization,uri,params",low,"uses lua-resty-openssl mac, not zhaozg lua-openssl mac.ctx; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
mbarnes-code/expert-dollop,infrastructure/kong/kong/plugins/hmac-auth/access.lua,false,false,false,"auth,verify,sign,signature,request,client,hmac","header,query,request,body,client,authorization,uri,params",low,"uses lua-resty-openssl mac, not zhaozg lua-openssl mac.ctx; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
wujiapei/alldata,dataGovern/kong-versions/kong-2.6.0/kong/plugins/hmac-auth/access.lua,false,false,false,"auth,verify,sign,signature,request,client,hmac","ngx.var,header,query,request,body,client,authorization,uri,params",low,"uses lua-resty-openssl hmac one-shot; uses lua-openssl hmac, not openssl.mac.ctx; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
LeXinshou/AlokMedia,libs/WebSession.lua,false,false,false,"auth,token,session,cookie,server,permission","header,cookie,server,token",noise,no direct target openssl.mac.ctx/mac.ctx evidence
LeXinshou/WebSessionLua,WebSession.lua,false,false,false,"auth,session,cookie,server,permission","header,cookie,server",noise,no direct target openssl.mac.ctx/mac.ctx evidence
Masken8/Studify-Server,main.lua,false,false,false,"auth,server,client","query,client,server,uri",low,"uses digest, not MAC ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
NickIsADev/erlua,libs/client/Client.lua,false,false,false,"auth,verify,sign,signature,server,client","body,client,server,args",low,"uses digest, not MAC ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
Olivine-Labs/lua-jwt,src/jwt/utils.lua,false,false,false,"verify,sign,signature,jwt,hmac",,low,"uses lua-openssl hmac, not openssl.mac.ctx; uses digest, not MAC ctx; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
Optum/kong-upstream-jwt,src/access.lua,false,false,false,"token,sign,signature,request,client,jwt","ngx.req,header,request,body,client,token,jwt",low,"uses digest, not MAC ctx; JWT/security context; no direct target openssl.mac.ctx/mac.ctx evidence"
SkylarPlayz348/lua-Spore,src/Spore/Middleware/Auth/OAuth.lua,false,false,false,"auth,token,sign,signature,request,server,client,hmac","header,query,request,socket,client,server,token,authorization,args,params",low,"uses lua-openssl hmac, not openssl.mac.ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
TencentBlueKing/bk-ci,src/gateway/core/lua/resty/jwt.lua,false,false,false,"auth,token,verify,sign,signature,jwt,hmac","header,token,jwt,uri",noise,JWT/security context; generic final/update text exists but not target mac ctx; no direct target openssl.mac.ctx/mac.ctx evidence
VoidCosmo/waspsaliva,clientmods/wisp/init.lua,false,false,false,"request,server,client","request,client,server,uri,params",low,"uses digest, not MAC ctx; no direct target openssl.mac.ctx/mac.ctx evidence"
