repo,file,uses_zhaozg_lua_openssl_mac_ctx,uses_update_final,post_final_pattern_found,security_context,external_input_evidence,security_decision_changed,rating,notes
Kong/lua-resty-aws,src/resty/aws/request/signatures/utils.lua,false,false,false,"signature,request,sign,hmac","query,request,uri,args",false,low,"uses lua-resty-openssl hmac; uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
xiaomastack/kong-plugin-upstream-auth-signature,kong/plugins/upstream-auth-signature/handler.lua,false,false,false,"auth,signature,sign,hmac","ngx.req,header,authorization",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
DistributedSystemsProject/AuthorizationServer,server.lua,false,false,false,"auth,server,hmac,digest","header,query,body,client,server,authorization,uri,post,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
LEGO/kong-aws-request-signing,kong/plugins/aws-request-signing/sigv4.lua,false,false,false,"auth,token,session,signature,request,sign,hmac","header,query,request,body,token,authorization,uri,get",false,low,"uses lua-resty-openssl hmac; uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
ThruInc/haproxy-lua-oauth,lib/jwtverify.lua,false,false,false,"auth,token,signature,verify,request,permission,sign,hmac,digest","header,request,token,jwt,authorization,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
carnei-ro/kong-plugin-oauth-jwt-signer,resty-script.lua,false,false,false,"auth,signature,sign,hmac",jwt,false,low,"uses lua-resty-openssl hmac; uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
haproxytech/haproxy-lua-oauth,lib/jwtverify.lua,false,false,false,"auth,token,signature,verify,request,permission,sign,hmac,digest","header,request,token,jwt,authorization,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
orlabs/orange,orange/plugins/hmac_auth/handler.lua,false,false,false,"auth,signature,sign,hmac","ngx.req,ngx.var,header,authorization,uri,params,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
starjiang/xorange,orange/plugins/hmac_auth/handler.lua,false,false,false,"auth,signature,sign,hmac","ngx.req,ngx.var,header,authorization,uri,params,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
GustavoMartins123/supabase-multitenant,studio/nginx/lua/auth/check_push_worker.lua,false,false,false,"auth,signature,request,server,sign,hmac,digest","ngx.req,ngx.var,header,request,body,server,uri,post,get",false,low,"uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence"
